Clades	Number	Frequency	Percentage
I	79	0.027632039174536552	2.763203917453655
II	1	0.0003497726477789437	0.03497726477789437
IIa	19	0.00664568030779993	0.6645680307799929
IIb	2715	0.9496327387198321	94.9632738719832
outgroup	30	0.01049317943336831	1.049317943336831
